N° Election;Election;Code Commune;Commune;N° Bureau;Bureau;Circonscritpion;Canton;Inscrits;Votants;Nuls;Blancs;Exprimés;Procurations;N° Candidat;Candidat;Nombre de Voix
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;6;Ecole élémentaire Lamartine;2;05;1067;498;3;4;491;28;9;M. OLHASQUE William;0
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;6;Ecole élémentaire Lamartine;2;05;1067;498;3;4;491;28;10;Mme BRIOT Valérie;7
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;6;Ecole élémentaire Lamartine;2;05;1067;498;3;4;491;28;11;Mme MANGANO Flavia;20
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;6;Ecole élémentaire Lamartine;2;05;1067;498;3;4;491;28;12;M. ASSIE Frédéric;1
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;6;Ecole élémentaire Lamartine;2;05;1067;498;3;4;491;28;13;Mme BRISSAUD Anne;13
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;6;Ecole élémentaire Lamartine;2;05;1067;498;3;4;491;28;14;Mme YAGUE Annie;58
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;6;Ecole élémentaire Lamartine;2;05;1067;498;3;4;491;28;15;Mme DEFRETIN Sophie;16
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;6;Ecole élémentaire Lamartine;2;05;1067;498;3;4;491;28;16;M. LECHAT Philippe;3
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;7;Maison des Relations Internationales;2;03;1217;570;4;4;562;43;1;M. BENALI Mahfoud;13
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;7;Maison des Relations Internationales;2;03;1217;570;4;4;562;43;2;Mme OZIOL Nathalie;224
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;7;Maison des Relations Internationales;2;03;1217;570;4;4;562;43;3;Mme ZBAIRI Kadija;0
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;7;Maison des Relations Internationales;2;03;1217;570;4;4;562;43;4;M. ROQUE Manuel;0
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;7;Maison des Relations Internationales;2;03;1217;570;4;4;562;43;5;M. MICHEL Didier;4
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;7;Maison des Relations Internationales;2;03;1217;570;4;4;562;43;6;Mme BELLAREDJ Fatima;67
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;7;Maison des Relations Internationales;2;03;1217;570;4;4;562;43;7;Mme RESSIGUIER Muriel;9
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;7;Maison des Relations Internationales;2;03;1217;570;4;4;562;43;8;M. DALMAU Flavio;1
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;7;Maison des Relations Internationales;2;03;1217;570;4;4;562;43;9;M. OLHASQUE William;0
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;7;Maison des Relations Internationales;2;03;1217;570;4;4;562;43;10;Mme BRIOT Valérie;14
